date,rainfall_mm,source_file,rainfall_norm,place,risk_label,risk_score
2017-01-01,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-02,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-03,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-04,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-05,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-06,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-07,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-08,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-09,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-10,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-11,0.4275370240211487,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0030597435830059545,Vellayambalam,Low,0.2
2017-01-12,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-13,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-14,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-15,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-16,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-17,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-18,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-19,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-20,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-21,0.2663968503475189,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0019065157111247007,Vellayambalam,Low,0.2
2017-01-22,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-23,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-24,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-25,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-26,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-27,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-28,0.3118009865283966,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.002231458362908928,Vellayambalam,Low,0.2
2017-01-29,1.2472039461135864,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.008925833451635713,Vellayambalam,Medium,0.5
2017-01-30,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-01-31,0.1429939866065979,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.001023361506362393,Vellayambalam,Low,0.2
2017-02-01,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-02,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-03,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-04,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-05,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-06,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-07,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-08,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-09,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-10,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
2017-02-11,0.0,C:/Users/Lenovo/Desktop/final\trivandrum_rainfall_2017.csv,0.0,Vellayambalam,Low,0.2
